Color,Contour Index,Perimeter (mm),Area (mm^2),Roundness,Average Diameter (mm),Width (mm),Height (mm),Volume (mm^3),Mass (g)
Green,4,7.858757138252258,2.4453125,0.49754973154362114,3.0259950160980225,3.125,1.375,6.187055844472086,0.015467639611180216
Green,6,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,7,14.785533845424652,7.21875,0.41495198465247035,6.269992828369141,6.375,1.625,17.628507214381788,0.04407126803595447
Green,10,7.255203753709793,2.9921875,0.7143309069905946,2.6369028091430664,2.375,2.0,7.014382816071741,0.017535957040179354
Green,14,0.6767766922712326,0.0234375,0.6430287075658971,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,15,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,17,4.017766907811165,0.96875,0.7541402225004131,1.5258444547653198,1.375,1.25,1.361152285783859,0.0034028807144596473
Green,18,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,19,0.3535533845424652,0.0,0.0,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,23,0.5,0.0,0.0,0.2500250041484833,0.125,0.375,0.018407769454627694,4.601942363656924e-05
Green,26,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,28,0.3535533845424652,0.0,0.0,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,29,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,30,19.881727874279022,17.75,0.5642869036430238,7.050069332122803,5.125,5.875,185.2414746373528,0.463103686593382
Green,31,8.139087200164795,3.4375,0.652080432230444,2.9261999130249023,2.875,2.125,13.595160396101141,0.03398790099025285
Green,33,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,34,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,37,0.5,0.015625,0.7853981633974483,0.17680169641971588,0.25,0.25,0.008181230868723419,2.0453077171808547e-05
Green,39,38.08147522807121,32.671875,0.28311077246882654,10.174287796020508,8.0,7.375,455.66183446441954,1.1391545861610488
Green,43,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,44,0.6767766922712326,0.0078125,0.2143429025219657,0.2795335054397583,0.375,0.25,0.02454369260617026,6.135923151542565e-05
Green,45,1.0303300768136978,0.0078125,0.09247985475540646,0.4507189095020294,0.5,0.375,0.07363107781851078,0.00018407769454627696
Green,53,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,54,38.091882690787315,40.8125,0.3534583015685208,10.557201385498047,7.75,9.5,732.4492372150703,1.8311230930376758
Green,55,8.212310552597046,3.8984375,0.726389757658438,3.051663875579834,2.375,2.75,7.014382816071741,0.017535957040179354
Green,56,0.3535533845424652,0.0,0.0,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,58,0.6035533845424652,0.015625,0.5390120952601716,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,62,78.0550856590271,84.390625,0.17406107363490403,14.388781547546387,13.875,11.75,2006.0296277801135,5.015074069450284
Green,65,0.3535533845424652,0.0,0.0,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,67,23.020815044641495,21.34375,0.5061033338419875,7.3866682052612305,5.375,7.0,275.8056550464039,0.6895141376160098
Green,68,4.901650354266167,1.6640625,0.87035181671535,1.6693075895309448,1.5,1.75,1.7671458676442584,0.004417864669110646
Green,69,0.7071067690849304,0.0,0.0,0.2500250041484833,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,71,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,73,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,76,0.5,0.0,0.0,0.2500250041484833,0.125,0.375,0.018407769454627694,4.601942363656924e-05
Green,80,0.75,0.03125,0.6981317007977318,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,81,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,83,0.6035533845424652,0.0,0.0,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,85,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,88,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,90,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,94,10.596193939447403,6.015625,0.6732724172694157,3.605576276779175,3.0,3.125,30.679615757712824,0.07669903939428206
Green,95,8.889087215065956,2.953125,0.46965327987962896,3.411860942840576,1.5,3.5,19.24225500323748,0.048105637508093706
Green,98,10.656854137778282,4.46875,0.4944676459396814,3.4392292499542236,2.5,3.375,29.82058651649686,0.07455146629124215
Green,100,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,101,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,102,6.005203768610954,1.9609375,0.683310538719218,2.050177574157715,1.625,2.0,6.8067840827778845,0.017016960206944712
Green,103,0.7803300768136978,0.0078125,0.16122901519013072,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,106,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,107,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,109,84.71193981170654,66.390625,0.11625921003777294,17.434276580810547,8.75,16.875,2609.301320193475,6.523253300483688
Green,111,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,113,48.852290123701096,74.984375,0.39483058264875037,14.844554901123047,8.875,14.875,2056.415783392864,5.14103945848216
Green,114,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,118,27.27601881325245,6.0546875,0.1022679697334009,6.001800060272217,5.875,4.0,98.43656981248017,0.24609142453120045
Green,119,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,120,6.590990215539932,1.6796875,0.4858889476719226,2.752864360809326,1.0,2.875,8.655742259109378,0.021639355647773445
Green,123,30.253048077225685,21.125,0.2900469523778172,11.473499298095703,2.875,11.5,398.16414391903135,0.9954103597975784
Green,124,36.22576613724232,33.9765625,0.32535249671610217,12.189287185668945,5.625,12.25,883.9410892112218,2.2098527230280545
Green,125,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,127,34.91510605812073,25.1171875,0.25891316906105105,10.152764320373535,5.25,10.25,577.6112617936109,1.4440281544840272
Green,129,3.8713203072547913,0.546875,0.4585426357594589,1.3305140733718872,1.25,1.25,2.0453077171808545,0.005113269292952137
Green,131,1.8535533845424652,0.140625,0.5143540952323796,0.7905943989753723,0.375,0.875,0.30066023442558565,0.0007516505860639642
Green,132,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,133,4.70710676908493,0.578125,0.32788648456032654,2.1396803855895996,0.5,2.25,2.650718801466388,0.00662679700366597
Green,135,0.9571067690849304,0.0625,0.8573716241035623,0.3750250041484833,0.375,0.5,0.027611654181941538,6.902913545485384e-05
Green,138,168.68859849870205,207.109375,0.0914614668018162,28.34303092956543,17.0,26.0,12034.3942583513,30.08598564587825
Green,140,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,141,3.767766922712326,0.625,0.5532505102251031,1.5258444547653198,1.375,1.0,1.4398966328953218,0.0035997415822383045
Green,142,11.315863907337189,2.2734375,0.2231091861464929,4.55022668838501,1.25,4.625,28.0002626482059,0.07000065662051476
Green,144,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,145,127.95762856304646,152.640625,0.11715144080824533,30.978092193603516,17.0,27.625,13585.702893216896,33.96425723304224
Green,146,0.3535533845424652,0.0,0.0,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,149,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,150,5.3284270614385605,1.328125,0.5878286716421092,2.2255866527557373,1.875,1.625,5.184855063053466,0.012962137657633667
Green,151,12.906854137778282,8.171875,0.6164399475066756,4.3268585205078125,3.75,3.75,55.22330836388308,0.1380582709097077
Green,154,17.558504551649094,10.7265625,0.4372153314519162,5.279627799987793,4.75,4.875,118.21469543761904,0.2955367385940476
Green,155,4.5909902304410934,0.8203125,0.4890761178670467,1.9764485359191895,0.875,2.0,3.665191429188092,0.009162978572970229
Green,157,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,161,0.6767766922712326,0.0234375,0.6430287075658971,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Green,162,5.1945436000823975,0.8515625,0.3965807233966407,1.7985658645629883,1.375,1.75,4.409683438241923,0.011024208595604807
Green,164,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,165,0.3535533845424652,0.0,0.0,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,166,2.3106601536273956,0.296875,0.6987331381741835,0.9014127850532532,0.75,0.875,0.6013204688511713,0.0015033011721279283
Green,167,1.1035533845424652,0.078125,0.8061450660379307,0.4507189095020294,0.5,0.375,0.06544984694978735,0.00016362461737446838
Green,168,0.5,0.015625,0.7853981633974483,0.17680169641971588,0.25,0.25,0.008181230868723419,2.0453077171808547e-05
Green,169,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,170,29.477921783924103,5.921875,0.08563974700893615,6.7263593673706055,6.625,5.0,173.44209441693647,0.4336052360423412
Green,173,1.6767766922712326,0.0546875,0.24442604317108083,0.7603703141212463,0.25,0.875,0.20044015628372377,0.0005011003907093094
Green,175,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,176,23.22792185842991,25.390625,0.5913744302802285,6.5808634757995605,6.375,6.375,271.31211399175754,0.6782802849793939
Green,177,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,178,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,179,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,180,24.662057891488075,24.0234375,0.49634812854210414,9.27111530303955,3.625,9.375,333.64082136512695,0.8341020534128174
Green,184,52.864853367209435,24.4765625,0.11005916799733667,10.143609046936035,7.125,10.25,783.9009981484719,1.9597524953711798
Green,186,0.7071067690849304,0.0,0.0,0.3535783886909485,0.375,0.375,0.05522330836388308,0.0001380582709097077
Green,187,1.1767766922712326,0.0546875,0.4962606252804942,0.5154131650924683,0.25,0.625,0.10226538585904274,0.00025566346464760684
Green,188,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,193,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,194,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,196,0.75,0.0,0.0,0.3750250041484833,0.125,0.5,0.032724923474893676,8.181230868723419e-05
Green,203,28.12436842918396,25.703125,0.40834781416731575,7.864625453948975,6.5,6.375,276.63195936414496,0.6915798984103624
Green,204,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,205,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,206,0.75,0.0,0.0,0.3750250041484833,0.5,0.125,0.008181230868723419,2.0453077171808547e-05
Green,209,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,218,9.022970646619797,4.1328125,0.6379056919905769,3.2428054809570312,3.0,2.625,21.647536878642168,0.05411884219660542
Green,219,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,220,40.01865936815739,51.8046875,0.4064937299146906,12.539960861206055,11.625,7.125,618.0040439002155,1.5450101097505389
Green,223,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,225,336.5353142619133,594.984375,0.06601674961601643,48.679115295410156,27.625,40.875,48333.29866478538,120.83324666196346
Green,226,12.035533830523491,4.8125,0.4174936656395852,5.014067649841309,5.125,1.375,10.14677158493422,0.02536692896233555
Green,227,246.4351796656847,181.0546875,0.03746400705874628,28.706785202026367,24.0,19.625,9679.639664791852,24.199099161979632
Green,229,63.74353310465813,53.1015625,0.1642271293231355,14.088510513305664,12.625,9.875,1289.241311755497,3.2231032793887424
Red,1,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,4,6.548096999526024,0.1640625,0.04808271484208849,2.7670180797576904,2.75,1.125,3.644738352016283,0.009111845880040707
Red,6,0.5,0.0,0.0,0.2500250041484833,0.125,0.375,0.018407769454627694,4.601942363656924e-05
Red,10,6.139087185263634,0.40625,0.13545518562079403,2.8090505599975586,1.625,2.5,10.635600129340444,0.02658900032335111
Red,11,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Red,12,1.9874368458986282,0.0234375,0.07456490602572753,0.6250249743461609,0.625,0.625,0.2556634646476068,0.0006391586616190171
Red,13,0.6767766922712326,0.0234375,0.6430287075658971,0.2795335054397583,0.375,0.25,0.02454369260617026,6.135923151542565e-05
Red,14,0.9571067690849304,0.0,0.0,0.4507189095020294,0.375,0.5,0.09817477042468103,0.0002454369260617026
Red,16,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,17,9.742640599608421,5.953125,0.788136610426468,3.331531524658203,3.375,2.625,20.12889589863538,0.050322239746588456
Red,19,10.894290938973427,0.6484375,0.06865624521702225,4.698761463165283,2.625,4.25,49.65189014228243,0.12412972535570609
Red,21,7.9623105227947235,0.7578125,0.15020811888472066,3.3773391246795654,1.0,3.5,12.828170002158322,0.0320704250053958
Red,22,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Red,23,3.8409902304410934,0.1171875,0.09981705409161498,1.6441433429718018,0.5,1.75,1.6035212502697902,0.004008803125674475
Red,25,18.040737584233284,1.8671875,0.07209235564134557,5.3180365562438965,2.375,5.0,62.17735460229798,0.15544338650574496
Red,27,0.5,0.0,0.0,0.2500250041484833,0.375,0.125,0.006135923151542565,1.5339807878856413e-05
Red,28,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,29,2.6213203072547913,0.109375,0.2000265968250916,0.9803323149681091,0.875,0.875,0.7015405469930333,0.0017538513674825833
Red,30,0.5,0.0,0.0,0.2500250041484833,0.375,0.125,0.006135923151542565,1.5339807878856413e-05
Red,31,3.8409902155399323,0.2109375,0.1796706987589756,1.5662705898284912,0.875,1.5,2.061670178918302,0.005154175447295755
Red,32,0.75,0.0,0.0,0.3750250041484833,0.125,0.5,0.032724923474893676,8.181230868723419e-05
Red,33,12.071067675948143,1.140625,0.09836970762784678,4.97810173034668,3.5,4.0,58.64306286700947,0.14660765716752366
Red,34,0.75,0.0,0.0,0.3750250041484833,0.5,0.125,0.008181230868723419,2.0453077171808547e-05
Red,37,1.0303300768136978,0.0078125,0.09247985475540646,0.4507189095020294,0.5,0.375,0.07363107781851078,0.00018407769454627696
Red,38,3.267766922712326,0.28125,0.3309788558529266,1.3975675106048584,0.875,1.375,1.732375636452184,0.004330939091130461
Red,39,2.7374368458986282,0.2890625,0.4847450704971266,1.0078072547912598,1.125,0.75,0.662679700366597,0.0016566992509164924
Red,40,3.1945435851812363,0.2734375,0.3367055716839364,1.4252443313598633,1.25,1.0,1.308996938995747,0.0032724923474893677
Red,41,3.017766907811165,0.203125,0.28028629230329044,1.3521068096160889,1.25,0.875,1.0022007814186187,0.0025055019535465467
Red,42,0.6767766922712326,0.0234375,0.6430287075658971,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Red,43,5.267766922712326,0.0625,0.028303280760630954,2.4044480323791504,2.5,0.625,1.0226538585904272,0.0025566346464760683
Red,44,0.75,0.0,0.0,0.3750250041484833,0.125,0.5,0.032724923474893676,8.181230868723419e-05
Red,45,17.80850452184677,1.8984375,0.0752231067768817,5.446120262145996,3.375,5.5,106.91232499247764,0.2672808124811941
Red,46,11.906854122877121,0.90625,0.0803274199153052,3.9691731929779053,3.375,3.125,34.51456772742692,0.0862864193185673
Red,47,1.3535533845424652,0.09375,0.6430287075658971,0.5590419769287109,0.375,0.625,0.15339807878856412,0.0003834951969714103
Red,49,0.8535533845424652,0.03125,0.5390120920947209,0.3535783886909485,0.375,0.375,0.05522330836388308,0.0001380582709097077
Red,50,4.401650369167328,0.2265625,0.14694905807620198,1.6298255920410156,1.75,0.875,1.4030810939860665,0.0035077027349651665
Red,51,6.3587571531534195,0.8046875,0.25008787749861255,2.183056116104126,1.25,2.25,6.626797003665969,0.01656699250916492
Red,53,5.487436845898628,0.1953125,0.08150811188866196,2.527993679046631,0.625,2.625,4.509903516383784,0.01127475879095946
Red,55,2.133883461356163,0.2265625,0.6252540268298763,0.8385504484176636,0.625,0.875,0.5011003907093093,0.0012527509767732733
Red,56,4.901650369167328,0.4765625,0.24925568308374252,2.183056116104126,2.125,1.0,2.22529479629277,0.0055632369907319245
Red,57,0.9267766922712326,0.0546875,0.8001063703614795,0.3535783886909485,0.375,0.375,0.027611654181941538,6.902913545485384e-05
Red,61,1.5303300768136978,0.0546875,0.293445670720228,0.6731705665588379,0.375,0.75,0.22089323345553233,0.0005522330836388308
Red,62,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,63,5.060660153627396,0.234375,0.11500237310286023,2.3881466388702393,0.5,2.5,3.2724923474893677,0.008181230868723419
Red,65,1.6035533845424652,0.015625,0.07635949446159827,0.7500249743461609,0.875,0.25,0.057268616081063935,0.00014317154020265983
